"","V1"
"16148","Convenient location near the city centre  Friendly staff  Plenty of car parking    "
"16149","Convenient location near the city centre  Friendly staff  Plenty of car parking    "
"16150","Great room and overall atmosphere, never had to leave The Star."
"16151","They was a spider in the room and no one took ownership of it. Told housekeeping and they said to tell the check out staff.  When I told them they just agreed and didn't do anything about.    Expected a little bit more from The Star."
"16152","Great room and overall atmosphere, never had to leave The Star."
"16153","They was a spider in the room and no one took ownership of it. Told housekeeping and they said to tell the check out staff.  When I told them they just agreed and didn't do anything about.    Expected a little bit more from The Star."
"16154","Yotel is a very popular hotel situated around about a five to ten minute walk from Times Square. Although it comes under Times Square be aware that it is not right on top of it it's situated in a place called Hells Kitchen but it is a short walk away from everything including subway, Times Square, Empire State Building etc. The rooms are tiny but they are clean and when in New York you won't be in your hotel room much anyway. Breakfast consists of coffee and a muffin, the blueberry muffins were yummy! There is also the option to pay for a full breakfast which also looked lovely. The staff are very helpful! Yotel generally feels like it has a different approach there is no need to tip staff every two minutes at Yotel or they just do not expect it as much where as other hotels such as Westin will click their fingers at you. Overall basic but nice!"
"16155","No negatives. It's basic but most importantly it is clean. Small size ""cabins"" (rooms) but that's the idea with this hotel! "
"16156","Yotel is a very popular hotel situated around about a five to ten minute walk from Times Square. Although it comes under Times Square be aware that it is not right on top of it it's situated in a place called Hells Kitchen but it is a short walk away from everything including subway, Times Square, Empire State Building etc. The rooms are tiny but they are clean and when in New York you won't be in your hotel room much anyway. Breakfast consists of coffee and a muffin, the blueberry muffins were yummy! There is also the option to pay for a full breakfast which also looked lovely. The staff are very helpful! Yotel generally feels like it has a different approach there is no need to tip staff every two minutes at Yotel or they just do not expect it as much where as other hotels such as Westin will click their fingers at you. Overall basic but nice!"
"16157","No negatives. It's basic but most importantly it is clean. Small size ""cabins"" (rooms) but that's the idea with this hotel! "
"16158","excellent friendly staff ,easy parking ,good choice for breakfast and good access to NIA and lots of dining options nearby, rooms clean and comfortable ,very good value @£53 rate per room paid"
"16159","excellent friendly staff ,easy parking ,good choice for breakfast and good access to NIA and lots of dining options nearby, rooms clean and comfortable ,very good value @£53 rate per room paid"
"16160","?? ?? ????.  value for money. breakfast is simple, but good to me."
"16161","??? ?? ???. bed is small"
"16162","?? ?? ????.  value for money. breakfast is simple, but good to me."
"16163","??? ?? ???. bed is small"
"16164","Nice hotel and staff"
"16165","The extra bed was terrible :-(  One of us had to sleep on the floor ;-("
"16166","Nice hotel and staff"
"16167","The extra bed was terrible :-(  One of us had to sleep on the floor ;-("
"16168","The staff at the reception is quite helpful and friendly."
"16169","The room was very small with no locker and full of dust everywhere."
"16170","The staff at the reception is quite helpful and friendly."
"16171","The room was very small with no locker and full of dust everywhere."
"16172","Everything was good,the staff very helpfull and polite. the room very spacious and clean. "
"16173","Just a pity about the lost sea view, due to the new twin tower, block being built at the rear."
"16174","Everything was good,the staff very helpfull and polite. the room very spacious and clean. "
"16175","Just a pity about the lost sea view, due to the new twin tower, block being built at the rear."
"16176","Is near to MTR. easy access to public transport.  About 35 mins to airport.   Within tourist belt.  Good eateries nearby. "
"16177","Is near to MTR. easy access to public transport.  About 35 mins to airport.   Within tourist belt.  Good eateries nearby. "
"16178","One of the many hotels which feature of the langkawi map. Just take the name at the airport and the cab can take you there. The hotel was clean, the staff were friendly. Basic facilities like swimming pool, massage, restaurant and bar, in room safe etc were all provided. The breakfast spread was also good. Tours can be booked via the travel desk in the hotel.  The distance to Tengah beach is about 1km. Cenang beach is a little farther than that. You can walk to the beach or take a cab, which will cost you 10RM. Sunba, the famous club is also a 15-20 minute walk from the hotel, which I believe is quite walkable."
"16179","One of the many hotels which feature of the langkawi map. Just take the name at the airport and the cab can take you there. The hotel was clean, the staff were friendly. Basic facilities like swimming pool, massage, restaurant and bar, in room safe etc were all provided. The breakfast spread was also good. Tours can be booked via the travel desk in the hotel.  The distance to Tengah beach is about 1km. Cenang beach is a little farther than that. You can walk to the beach or take a cab, which will cost you 10RM. Sunba, the famous club is also a 15-20 minute walk from the hotel, which I believe is quite walkable."
"16180","Across the road from the beach & restaurants, good buffet breakfast included. Close to the airport, 200 THB each way for the airport transfer. A good place to stay for a night, particularly if you have an early/late flight. The room was very clean (minor maintenance required in bathroom) the mattress is firm (might not suit everyone). Free Wifi in the foyer area and friendly staff."
"16181","Across the road from the beach & restaurants, good buffet breakfast included. Close to the airport, 200 THB each way for the airport transfer. A good place to stay for a night, particularly if you have an early/late flight. The room was very clean (minor maintenance required in bathroom) the mattress is firm (might not suit everyone). Free Wifi in the foyer area and friendly staff."
"16182","The Hotel was great location next to the Comic Convention which was why I chose it and next to Times Square.  Awesome location.  Downstairs had a bar/club it was very nice.  Had an awesome stay and may book again here.  Very clean and neat even laptop hookup.  Definetely recommended it to my friends if they ever go to New York and looking for a place to stay.      Thank you!"
"16183","The Hotel was great location next to the Comic Convention which was why I chose it and next to Times Square.  Awesome location.  Downstairs had a bar/club it was very nice.  Had an awesome stay and may book again here.  Very clean and neat even laptop hookup.  Definetely recommended it to my friends if they ever go to New York and looking for a place to stay.      Thank you!"
"16184","Lovely hotel, warm and friendly staff, good food. Thank you."
"16185","Lovely hotel, warm and friendly staff, good food. Thank you."
"16186","Well located - away from the noisy streets but well within walking distance. Lovely and clean and very pleasent staff. "
"16187","Well located - away from the noisy streets but well within walking distance. Lovely and clean and very pleasent staff. "
"16188","A good basic hotel which suited our purpose of a cheap weekend skiing break. The rooms and bathrooms were clean and the bed comfortable"
"16189","Could have done with a bit more cupboard space in the bedrooms if staying longer, adequate for a weekend  Food could be hotter and plates warmed.  Bar seemed to be closed a lot"
"16190","A good basic hotel which suited our purpose of a cheap weekend skiing break. The rooms and bathrooms were clean and the bed comfortable"
"16191","Could have done with a bit more cupboard space in the bedrooms if staying longer, adequate for a weekend  Food could be hotter and plates warmed.  Bar seemed to be closed a lot"
"16192","I left a set of reading glasses in my room and when I went back a day later, they were able to give them to me...Phew!"
"16193","The service ethic of the hotel stinks.  From the guy in the bar, to the restaurant, to front desk.  They just don't care.  I experienced poor service trying to buy a drink, was delivered a meal that I didn't order and when I told front desk on check out, the girl shrugged her shoulders and said have a nice day, as she processed my payment, not even, I'm sorry to hear that!.  I have stayed in this hotel many times, this may well be the last.  There are others just one block away, which are cheaper and give better service I hear."
"16194","I left a set of reading glasses in my room and when I went back a day later, they were able to give them to me...Phew!"
"16195","The service ethic of the hotel stinks.  From the guy in the bar, to the restaurant, to front desk.  They just don't care.  I experienced poor service trying to buy a drink, was delivered a meal that I didn't order and when I told front desk on check out, the girl shrugged her shoulders and said have a nice day, as she processed my payment, not even, I'm sorry to hear that!.  I have stayed in this hotel many times, this may well be the last.  There are others just one block away, which are cheaper and give better service I hear."
"16196","Great location, good value for money, comfortable bed. What more do you need?"
"16197","The rooms on Lime Street station side are very noisy, but we asked to move to the other side and the station could not be heard at all."
"16198","Great location, good value for money, comfortable bed. What more do you need?"
"16199","The rooms on Lime Street station side are very noisy, but we asked to move to the other side and the station could not be heard at all."
"16200","Thoughtful and warm decor. Very helpful, professional and friendly staff. The restaurant at the hotel is excellent with a very interesting menu -we had our best meal of our weekend in Madrid there. Good value for money. "
"16201","Thoughtful and warm decor. Very helpful, professional and friendly staff. The restaurant at the hotel is excellent with a very interesting menu -we had our best meal of our weekend in Madrid there. Good value for money. "
"16202","Staff friendly and helpful   Resolved room issues quickly  Great spa"
"16203","At least one TV station in English and German would be helpful"
"16204","Staff friendly and helpful   Resolved room issues quickly  Great spa"
"16205","At least one TV station in English and German would be helpful"
"16206","Not clean. Smell in our room, We were happy leaving this hotel."
"16207","Not clean. Smell in our room, We were happy leaving this hotel."
"16208","it has nice view and all the surroundings of the hotel were clean."
"16209","we had a room which was full of mould,smelling awful and the walls were trully wet.as i noticed the entire hitel has problems with humidity.i told reception to change us room cause i have asthma but they said were full so wasn t pissible.so i had to sleep one more night inside the mould. reception although were with a smile on but this is not enough if they can not speak english so we can communicate. i recommend this hotel only to those that cares about view and nothing else.  also is far from center.need to take taxi all the time cause hotel didn t have any shuttle bus either just to take us to port when departing."
"16210","it has nice view and all the surroundings of the hotel were clean."
"16211","we had a room which was full of mould,smelling awful and the walls were trully wet.as i noticed the entire hitel has problems with humidity.i told reception to change us room cause i have asthma but they said were full so wasn t pissible.so i had to sleep one more night inside the mould. reception although were with a smile on but this is not enough if they can not speak english so we can communicate. i recommend this hotel only to those that cares about view and nothing else.  also is far from center.need to take taxi all the time cause hotel didn t have any shuttle bus either just to take us to port when departing."
"16212","It was a perfect stay for me and my family. The staff are all helpful and we did enjoy our stay. It was a perfect location and convenience to going others places. I still will choose for this hotel for my next visit!!! (of cause if the pricing will not increase much or reasonable)"
"16213","It was a perfect stay for me and my family. The staff are all helpful and we did enjoy our stay. It was a perfect location and convenience to going others places. I still will choose for this hotel for my next visit!!! (of cause if the pricing will not increase much or reasonable)"
"16214","Centrally located to shopping, courteous and helpful staff"
"16215","Very small rooms, a/c and shower mixers problematic.."
"16216","Centrally located to shopping, courteous and helpful staff"
"16217","Very small rooms, a/c and shower mixers problematic.."
"16218","The staff there very friendly and nice and you get from  there's an excellent service and the food there is also excellent and good !!"
"16219","The staff there very friendly and nice and you get from  there's an excellent service and the food there is also excellent and good !!"
"16220","The Cleaning Ladies were absolutely fab and the guy in the bar restaurant Mohammed was very very nice .  The place was cleaned regulary."
"16221","The Receptionist on arrival was exceptionally rude .. There were no pleasantries at all with her .. After all the tourists are their bread and butter and would have expected kinder treatment.    The place could do with a major overhaul.. "
"16222","The Cleaning Ladies were absolutely fab and the guy in the bar restaurant Mohammed was very very nice .  The place was cleaned regulary."
"16223","The Receptionist on arrival was exceptionally rude .. There were no pleasantries at all with her .. After all the tourists are their bread and butter and would have expected kinder treatment.    The place could do with a major overhaul.. "
"16224","The pool is beautifull"
"16225","The breakfast is not included"
"16226","The pool is beautifull"
"16227","The breakfast is not included"
"16228","Great for family vacation, everything for everyone. "
"16229","We are from Australia and no needed help as out ATM, credit cards and Australian dollar wasn't accepted in Cuba. No one! I mean no one bother to help!!!!!!   It was such a stressful 4 days and we couldn't wait to leave.   All the staff when we first arrived we're amazing until they realized we didn't tip, we always love tipping our waiters but because no one in this hotel bothered to help us we didn't have any money to tip   Only money we did have was transportation to the airport!   Some of the cooks in the buffet restaurant were rude while they cooked your fresh meats unless you tip they give you a smile   Not coming back that's for sure  "
"16230","Great for family vacation, everything for everyone. "
"16231","We are from Australia and no needed help as out ATM, credit cards and Australian dollar wasn't accepted in Cuba. No one! I mean no one bother to help!!!!!!   It was such a stressful 4 days and we couldn't wait to leave.   All the staff when we first arrived we're amazing until they realized we didn't tip, we always love tipping our waiters but because no one in this hotel bothered to help us we didn't have any money to tip   Only money we did have was transportation to the airport!   Some of the cooks in the buffet restaurant were rude while they cooked your fresh meats unless you tip they give you a smile   Not coming back that's for sure  "
"16232","Very good position, modern,  clean, arrived early and the room was ready.    Food was good, choices so should find something you like."
"16233","Charge €10 per day for parking and charge for internet.    The coffee at breakfast is from a machine and was awful."
"16234","Very good position, modern,  clean, arrived early and the room was ready.    Food was good, choices so should find something you like."
"16235","Charge €10 per day for parking and charge for internet.    The coffee at breakfast is from a machine and was awful."
"16236","On the plus side it was cheap, staff were quite friendly and it had a couple of English TV channels and that's where it ends."
"16237","The room had No; hot water, handles on the bathroom door, air conditioning and there were wires hanging out of the wall as well as a radiator grill hanging off. In the bathroom there was no shower curtain so the floor flooded. Breakfast was meagre, a couple of little quasonts.  And what you don't see on the adds is that the hotel is in one of the roughest areas in Buenos Aires (Constitution),  There are prostitutes and vagrants are on every street corner around the hotel.  There is dog poo everywhere and also wrecked and burnt out cars in the streets. At night it is noisy with dogs barking and cars and bikes revving their engines.  I was warned not to go out at night by two locals  but had already decided to move to a better area and hotel.  You get what you pay for!!  "
"16238","On the plus side it was cheap, staff were quite friendly and it had a couple of English TV channels and that's where it ends."
"16239","The room had No; hot water, handles on the bathroom door, air conditioning and there were wires hanging out of the wall as well as a radiator grill hanging off. In the bathroom there was no shower curtain so the floor flooded. Breakfast was meagre, a couple of little quasonts.  And what you don't see on the adds is that the hotel is in one of the roughest areas in Buenos Aires (Constitution),  There are prostitutes and vagrants are on every street corner around the hotel.  There is dog poo everywhere and also wrecked and burnt out cars in the streets. At night it is noisy with dogs barking and cars and bikes revving their engines.  I was warned not to go out at night by two locals  but had already decided to move to a better area and hotel.  You get what you pay for!!  "
"16240","Very basic, but very enjoyable stay. Staff and animations team made a real concerted effort with the children and allowed us as parents to enjoy the stay too. Food was varied and well presented. For the cost of this hotel I would definitely recommend it. "
"16241","A little bit far out from the busy parts of Tenerife and most things are a fair walk or bus ride to get into the busy areas."
"16242","Very basic, but very enjoyable stay. Staff and animations team made a real concerted effort with the children and allowed us as parents to enjoy the stay too. Food was varied and well presented. For the cost of this hotel I would definitely recommend it. "
"16243","A little bit far out from the busy parts of Tenerife and most things are a fair walk or bus ride to get into the busy areas."
"16244","This was great value for money and we had an excellent holiday. The accommodation was beyond expectation for the cost and the gardens were lovely. "
"16245","It is set a couple of kilometers from the village of Carvoeiro and on a hill but there is a shuttle bus that runs 3 times a day. It is adviseable to have your own transport."
"16246","This was great value for money and we had an excellent holiday. The accommodation was beyond expectation for the cost and the gardens were lovely. "
"16247","It is set a couple of kilometers from the village of Carvoeiro and on a hill but there is a shuttle bus that runs 3 times a day. It is adviseable to have your own transport."
"16248","Very lovely and well maintained hotel, would defnetly come back ad recommend to friends "
"16249","Only negative is the price of wifi, it should be made available for all guests for free or included in the price  "
"16250","Very lovely and well maintained hotel, would defnetly come back ad recommend to friends "
"16251","Only negative is the price of wifi, it should be made available for all guests for free or included in the price  "
"16252","Hotel was quiet and even with the balcony to the street there were not too much noise from the street. Food in the restaurant was ok. Location next to Loro Parque was good."
"16253","This hotel is not 4 star hotel, more like 3 stars maximum. In reception the personnel was not very helpful and did not know even where the kid's area in the hotel is.If hotel is recommended for the children it would be great to have at least in the childrens pool warm water, now both pools were cold. In my opinion there should be Wifi available in the rooms in 4 star hotel, preferrably included to the price."
"16254","Hotel was quiet and even with the balcony to the street there were not too much noise from the street. Food in the restaurant was ok. Location next to Loro Parque was good."
"16255","This hotel is not 4 star hotel, more like 3 stars maximum. In reception the personnel was not very helpful and did not know even where the kid's area in the hotel is.If hotel is recommended for the children it would be great to have at least in the childrens pool warm water, now both pools were cold. In my opinion there should be Wifi available in the rooms in 4 star hotel, preferrably included to the price."
"16256","Great location, very close to all main San Diego attractions. Very reasonable room rates , friendly staff...I would definitely stay here again."
"16257","Though you cant go wrong with simple yogurts, fruit, different breakfast breads and cereals to start your day the overall quality of the ""hot"" breakfast could be alot better ."
"16258","Great location, very close to all main San Diego attractions. Very reasonable room rates , friendly staff...I would definitely stay here again."
"16259","Though you cant go wrong with simple yogurts, fruit, different breakfast breads and cereals to start your day the overall quality of the ""hot"" breakfast could be alot better ."
"16260","Service was disgustingly slow & rude.   Location isn't great, have to catch a taxi if you want to eat outside of hotel  "
"16261","Service was disgustingly slow & rude.   Location isn't great, have to catch a taxi if you want to eat outside of hotel  "
"16262","For the third time in this hotel. Rooms, food en facilities are value for money.  Staff is very helpfull."
"16263","For the third time in this hotel. Rooms, food en facilities are value for money.  Staff is very helpfull."
"16264","Very helpful and very polite staff"
"16265","Very helpful and very polite staff"
"16266","Friendly staff, spacious and nice scenery "
"16267","Room facilities were spoilt... Bath tub and leaking toilet."
"16268","Friendly staff, spacious and nice scenery "
"16269","Room facilities were spoilt... Bath tub and leaking toilet."
"16270","The feeling of purity of the lobby of this hotel was likable.   "
"16271","The feeling of purity of the lobby of this hotel was likable.   "
"16272","Fabulous location on the edge of the Muirfield golf course.  Stunning views from the room and the restaurant.  Excellent easy parking and located by so many golf courses and great beaches North Berwick etc) East access to Edinburgh by train from nearby Drem.   Nice old fashioned hotel furnished in a traditional manner  Nice big room and en-suite with lots of hot water and always replenished clean towels.  Even in cold weather always warm throughout  Notwithstanding the negatives below we did have a nice comfortable stay.  If the negatives were resolved I would happily give 5 stars"
"16273","Sometimes haphazard service with staff working hard and too much dashing about to be relaxed. It appears that all the staff do all the jobs so it was difficult to see who was in charge and who was responsible for what which probably accounts for the inconsistences in housekeeping. En suite had unacceptable black mould on many of the white tiles grouting.  Main stair carpet was threadbare on the edges.  Most of the hotel mirrors needed cleaning (not looking for faults but so obvious!!)  The hotel needs a manager to be about checking what is happening and checking on standards. "
"16274","Fabulous location on the edge of the Muirfield golf course.  Stunning views from the room and the restaurant.  Excellent easy parking and located by so many golf courses and great beaches North Berwick etc) East access to Edinburgh by train from nearby Drem.   Nice old fashioned hotel furnished in a traditional manner  Nice big room and en-suite with lots of hot water and always replenished clean towels.  Even in cold weather always warm throughout  Notwithstanding the negatives below we did have a nice comfortable stay.  If the negatives were resolved I would happily give 5 stars"
"16275","Sometimes haphazard service with staff working hard and too much dashing about to be relaxed. It appears that all the staff do all the jobs so it was difficult to see who was in charge and who was responsible for what which probably accounts for the inconsistences in housekeeping. En suite had unacceptable black mould on many of the white tiles grouting.  Main stair carpet was threadbare on the edges.  Most of the hotel mirrors needed cleaning (not looking for faults but so obvious!!)  The hotel needs a manager to be about checking what is happening and checking on standards. "
"16276","No satellite t.v. only english channel was the Horror channel, expensive to receive internet 4 euro for 60 mins, which I could only receive in reception, Beds were rock hard, as was the settee ,had aching back every morning. Hotel on a short  steep hill and then its 105 steps down to old town ,I did try to be more positive with my review ,but I must also be honest ,talking to other guests they all agree with me."
"16277","No satellite t.v. only english channel was the Horror channel, expensive to receive internet 4 euro for 60 mins, which I could only receive in reception, Beds were rock hard, as was the settee ,had aching back every morning. Hotel on a short  steep hill and then its 105 steps down to old town ,I did try to be more positive with my review ,but I must also be honest ,talking to other guests they all agree with me."
"16278","Staff were very friendly.  Breakfast had a good choice."
"16279","Hotel is looking very tired.  There was no pool service at the big pool.  When you did get it you had to wait ages for what you ordered.  The room that we booked was supposed to be a luxurious garden bungalow and I had put in a special request for a room with a double bed.  We were given a room with two single beds that was also extremely small room.  I complained and said I had put in a special request, they first tried to get us to put the beds together but after saying no we were shown to a much larger much better room.  I felt that they were trying it on by giving us a lessor quality room first up. We have stayed at this hotel 3 times before, but we now find that it looks a little run down and the big pool area is now very run down and cluttered.  It is definitely not a 4 star hotel anymore.  We had a pleasant stay but I will not stay at this hotel again. "
"16280","Staff were very friendly.  Breakfast had a good choice."
"16281","Hotel is looking very tired.  There was no pool service at the big pool.  When you did get it you had to wait ages for what you ordered.  The room that we booked was supposed to be a luxurious garden bungalow and I had put in a special request for a room with a double bed.  We were given a room with two single beds that was also extremely small room.  I complained and said I had put in a special request, they first tried to get us to put the beds together but after saying no we were shown to a much larger much better room.  I felt that they were trying it on by giving us a lessor quality room first up. We have stayed at this hotel 3 times before, but we now find that it looks a little run down and the big pool area is now very run down and cluttered.  It is definitely not a 4 star hotel anymore.  We had a pleasant stay but I will not stay at this hotel again. "
"16282","We loved our stay at crown metropol it so beautiful, there staff are so helpful and friendly, can't wait to go back ??"
"16283","There is nothing negative about crown metropol hotel it's great. "
"16284","We loved our stay at crown metropol it so beautiful, there staff are so helpful and friendly, can't wait to go back ??"
"16285","There is nothing negative about crown metropol hotel it's great. "
"16286","Great location very nice staff. Modern rooms, just a little small"
"16287","Great location very nice staff. Modern rooms, just a little small"
"16288","Staff were very friendly and constantly went out of their way to help.  Very close to Disney Park, with regular shuttle bus."
"16289","Food options for eating at hotel were very limited."
"16290","Staff were very friendly and constantly went out of their way to help.  Very close to Disney Park, with regular shuttle bus."
"16291","Food options for eating at hotel were very limited."
"16292","Dirty and not interested personal"
"16293","Dirty and not interested personal"
"16294","Lovely room. Clean,spacious with great bathroom. Perfect location for NIA. Friendly staff. Large choice for breakfast."
"16295","Lovely room. Clean,spacious with great bathroom. Perfect location for NIA. Friendly staff. Large choice for breakfast."
"16296","The room was very nice big beds very comfortably bathroom was clean and shower excellent. Breakfast was good. "
"16297","Receptionists were very lacking in knowledge of local area unless they could see the place on the map. Three out of four of them couldn't speak or understand English which is absolutely not exceptable. No hair dryer or safe in the room and no heavy curtains to stop the light first thing in the morning. "
"16298","The room was very nice big beds very comfortably bathroom was clean and shower excellent. Breakfast was good. "
"16299","Receptionists were very lacking in knowledge of local area unless they could see the place on the map. Three out of four of them couldn't speak or understand English which is absolutely not exceptable. No hair dryer or safe in the room and no heavy curtains to stop the light first thing in the morning. "
"16300","Arrived at the Louis King Jason hotel quite late and tired to find the receptionist was waiting with a lovely tray of nibbles and fresh orange juice--nice touch !    That was followed by a young man who helped us with our cases and showed us around the bedroom / apartment.    Please note that there are some ground floor rooms available which ( if necessary through mobility problems) need requesting for, as otherwise there are stairs,-- no lift.    The following morning the same young man who was also one of the waiters, showed us around the dining room and where to get our various breakfast needs.    The breakfast was excellent, varied choices including a Cypriot table. fresh eggs cooked in various ways on demand with a very pleasant cook.    A spotless hotel with fresh towels daily and bedding changed twice in a 5 day stay.    There was a shop on site which had home baked bread, and a friendly owner who spoke good English.    In fact all of the staff spoke fluent English.    We stayed B & B and ate out every night but there was a full kitchen in the apartment and a supermarket directly opposite which sold everything you needed.    Although the weather was not too hot and rained for 2 days out of 5 days  the hotel had an indoor pool, and 2 outdoor pools with exercise equipment actually in the water.    All in all the hotel was 4 star and maintained those standards, not too big and therefore there was a very personal touch to the hotel.    The staff were all helpful and friendly from the Managers to the cleaning staff.    I would definitely book again without hesitation.    "
"16301","Difficult to find ---- needs better signage  Need a car /taxi to reach the resort proper and to enjoy the surrounding tourist areas.  Massive shopping centre nearby."
"16302","Arrived at the Louis King Jason hotel quite late and tired to find the receptionist was waiting with a lovely tray of nibbles and fresh orange juice--nice touch !    That was followed by a young man who helped us with our cases and showed us around the bedroom / apartment.    Please note that there are some ground floor rooms available which ( if necessary through mobility problems) need requesting for, as otherwise there are stairs,-- no lift.    The following morning the same young man who was also one of the waiters, showed us around the dining room and where to get our various breakfast needs.    The breakfast was excellent, varied choices including a Cypriot table. fresh eggs cooked in various ways on demand with a very pleasant cook.    A spotless hotel with fresh towels daily and bedding changed twice in a 5 day stay.    There was a shop on site which had home baked bread, and a friendly owner who spoke good English.    In fact all of the staff spoke fluent English.    We stayed B & B and ate out every night but there was a full kitchen in the apartment and a supermarket directly opposite which sold everything you needed.    Although the weather was not too hot and rained for 2 days out of 5 days  the hotel had an indoor pool, and 2 outdoor pools with exercise equipment actually in the water.    All in all the hotel was 4 star and maintained those standards, not too big and therefore there was a very personal touch to the hotel.    The staff were all helpful and friendly from the Managers to the cleaning staff.    I would definitely book again without hesitation.    "
"16303","Difficult to find ---- needs better signage  Need a car /taxi to reach the resort proper and to enjoy the surrounding tourist areas.  Massive shopping centre nearby."
"16304","The Fairview Hotel is perfect in every way.   Hotelopia falsely promised I had a reservation there, but I was unable to check in, because the reservation did not exist.  Hotelopia had insead relocated me to a much lower quality hotel in a dangerous part of Nairobi, without telling me until I tried to check into the lovely Fairview Hotel.  Bottom Line:  You would be a fool to trust Hotelopia."
"16305","The Fairview Hotel is perfect in every way.   Hotelopia falsely promised I had a reservation there, but I was unable to check in, because the reservation did not exist.  Hotelopia had insead relocated me to a much lower quality hotel in a dangerous part of Nairobi, without telling me until I tried to check into the lovely Fairview Hotel.  Bottom Line:  You would be a fool to trust Hotelopia."
"16306","very friendly centrally located clean"
"16307","very friendly centrally located clean"
"16308","I came to the hotell after travelling 30 hours. The older woman at the reception was first ok, but then she asked me to show her my money. Why, I asked. SHOW ME YOUR MONEY! she ordered. I did, because I was to tired to guarrell. Give me 5 pesos, she asked angry. I gave 3 and then she ordered me to give 10, so she will give me 5 back. I gave and tried to get 3 pesos back but she did not give it. She gave me one coin, it was 1 peso, I noticed later. It was first time when I saw cuban convertibles. If this all was for safety box, she did not say it and first she asked for 5 pesos but stole 12 all together! Very strange episode."
"16309","I came to the hotell after travelling 30 hours. The older woman at the reception was first ok, but then she asked me to show her my money. Why, I asked. SHOW ME YOUR MONEY! she ordered. I did, because I was to tired to guarrell. Give me 5 pesos, she asked angry. I gave 3 and then she ordered me to give 10, so she will give me 5 back. I gave and tried to get 3 pesos back but she did not give it. She gave me one coin, it was 1 peso, I noticed later. It was first time when I saw cuban convertibles. If this all was for safety box, she did not say it and first she asked for 5 pesos but stole 12 all together! Very strange episode."
"16310","Lovely place with beautiful views. We stayed in one of the cheaper rooms, and as such it was pretty, but a little dark - it was facing a little shaded yard, and mosquitoes were all over the terasse, so we didn't use that at all. We didn't see that as a big problem though, as we spend all the time at the fabulous pool anyway. Our companions payed extra for one of the sea view rooms and definitelt had an awesome view, but personally, I'm not sure I'd shell out the extra bucks for that (again, we're not the kind of persons to stay too much in the room ;))"
"16311","Lovely place with beautiful views. We stayed in one of the cheaper rooms, and as such it was pretty, but a little dark - it was facing a little shaded yard, and mosquitoes were all over the terasse, so we didn't use that at all. We didn't see that as a big problem though, as we spend all the time at the fabulous pool anyway. Our companions payed extra for one of the sea view rooms and definitelt had an awesome view, but personally, I'm not sure I'd shell out the extra bucks for that (again, we're not the kind of persons to stay too much in the room ;))"
"16312","As positive, the staff. Very polite, helpful and friendly. The location, very good."
"16313","Not so negative but its always something to look for, a strange noise, all night, disturbing the sleep all night. Shower with no hangers or holders for your belongings. Apart all that, good value for money."
"16314","As positive, the staff. Very polite, helpful and friendly. The location, very good."
"16315","Not so negative but its always something to look for, a strange noise, all night, disturbing the sleep all night. Shower with no hangers or holders for your belongings. Apart all that, good value for money."
"16316","Lovely clean modern hotel. Excellent choice at breakfast."
"16317","Reception staff very friendly and helpful, but seemed to struggle when the reception became busy"
"16318","Lovely clean modern hotel. Excellent choice at breakfast."
"16319","Reception staff very friendly and helpful, but seemed to struggle when the reception became busy"
"16320","Very noice in the night."
"16321","Very noice in the night."
"16322","Clean and friendly staff very help full you do need a car or there is a good bus service to los christianos we had a very enjoyable stay and would go again"
"16323","Clean and friendly staff very help full you do need a car or there is a good bus service to los christianos we had a very enjoyable stay and would go again"
"16324","The hotel was brilliant as always the staff are really friendly and the organisation on day to day basis is outstanding, me my partner would never stay any where else apart from the jury's inn!!  :-)"
"16325","The hotel was brilliant as always the staff are really friendly and the organisation on day to day basis is outstanding, me my partner would never stay any where else apart from the jury's inn!!  :-)"
"16326","The location of the hotel is great! the hacienda is beautiful!"
"16327"," personnel lack preparation, professionalism, courtesy! no internet! the mattresses and furniture in the room are outdated! very secluded and food is too expensive!"
"16328","The location of the hotel is great! the hacienda is beautiful!"
"16329"," personnel lack preparation, professionalism, courtesy! no internet! the mattresses and furniture in the room are outdated! very secluded and food is too expensive!"
"16330","From checking in to leaving the staff could not have been more helpful and friendly, especially John in the restaurant at breakfast."
"16331","From checking in to leaving the staff could not have been more helpful and friendly, especially John in the restaurant at breakfast."
"16332","such a great place to stay. "
"16333","such a great place to stay. "
"16334","Great location for a family ski holiday.  Truly a ski-in, ski-out apartment building.  While the Sherpa grocery store at ARC 2000 is fairly expensive, the SPAR in ARC 1950 is very reasonable.  The free cabriolet between 2000 and 1950 makes going to the SPAR very easy."
"16335","The apartments only have one toilet -- even the large 3 bedroom apartments that can sleep up to 8 people."
"16336","Great location for a family ski holiday.  Truly a ski-in, ski-out apartment building.  While the Sherpa grocery store at ARC 2000 is fairly expensive, the SPAR in ARC 1950 is very reasonable.  The free cabriolet between 2000 and 1950 makes going to the SPAR very easy."
"16337","The apartments only have one toilet -- even the large 3 bedroom apartments that can sleep up to 8 people."
"16338","Staff were very friendly and helpful. We would definitely stay again. A great base for exploring the city."
"16339","Noisy on the road but to be expected in the middle of Paris."
"16340","Staff were very friendly and helpful. We would definitely stay again. A great base for exploring the city."
"16341","Noisy on the road but to be expected in the middle of Paris."
"16342","?BOOK?1 double bed  , ?check in ????????1 double bed ??? "
"16343","?BOOK?1 double bed  , ?check in ????????1 double bed ??? "
